45,Harrison Mevis,23,K,,,243,5-11,Missouri,3/27/2002,Rook,,,MeviHa00
35,Dymere Miller,,WR,,,184,,Rutgers,,Rook,,,MillDy00
61,Max Mitchell,26,T,,,307,6-6,Louisiana,10/12/1999,3,,New York Jets / 4th / 111th pick / 2022,MitcMa02
25,Jarius Monroe,25,S,,,205,6-2,Nicholls St.Tulane,10/6/2000,1,,,MonrJa00
27,Malachi Moore,24,SAF,,,201,,Alabama,9/13/2001,Rook,,New York Jets / 4th / 130th pick / 2025,MoorMa04
62,Fatorma Mulbah,,DL,,,306,6-4,West Virginia,,Rook,,,-9999
71,Josh Myers,27,C,,,310,6-5,Ohio St.,7/16/1998,4,,Green Bay Packers / 2nd / 62nd pick / 2021,MyerJo00
65,Xavier Newman-Johnson,26,OL,,,297,6-2,Baylor,8/4/1999,3,,,NewmXa00
91,Derrick Nnadi,29,DT,,,317,6-1,Florida St.,5/9/1996,7,,Kansas City Chiefs / 3rd / 75th pick / 2018,NnadDe00
34,Kene Nwangwu,27,RB,,,210,6-1,Iowa St.,2/9/1998,4,,Minnesota Vikings / 4th / 119th pick / 2021,NwanKe00
79,Chukwuma Okorafor,28,OT,,,320,6-6,Western Michigan,8/8/1997,7,,Pittsburgh Steelers / 3rd / 92nd pick / 2018,OkorCh00
26,Isaiah Oliver,29,CB,,,202,6-0,Colorado,9/30/1996,7,,Atlanta Falcons / 2nd / 58th pick / 2018,OlivIs00
69,Payton Page,,DT,,,300,6-4,Clemson,,Rook,,,-9999
36,Jamaal Pritchett,,WR,,,175,,South Alabama,,Rook,,,PritJa00
83,Josh Reynolds,30,WR,,,192,6-3,Texas A&M,2/16/1995,8,,Los Angeles Rams / 4th / 117th pick / 2017,ReynJo00
89,Jeremy Ruckert,25,TE,,,250,6-5,Ohio St.,8/11/2000,3,,New York Jets / 3rd / 101st pick / 2022,RuckJe00
44,Jamien Sherwood,25,DB,,,216,6-2,Auburn,1/12/2000,4,,New York Jets / 5th / 146th pick / 2021,SherJa00
76,John Simpson,28,LG,,,330,6-4,Clemson,8/19/1997,5,,Las Vegas Raiders / 4th / 109th pick / 2020,SimpJo00
49,Jackson Sirmon,25,LB,,,240,6-2,California,4/15/2000,Rook,,,SirmJa00
39,Quentin Skinner,,WR,,,195,,Kansas,,Rook,,,SkinQu00
84,Stone Smartt,27,TE,,,226,6-4,Northern ArizonaRiverside CCOld Dominion,10/4/1998,3,,,SmarSt00
48,Aaron Smith,,LB,,,230,,South Carolina St.,,Rook,,,SmitAa00
82,Arian Smith,24,WR,,,185,,Georgia,10/11/2001,Rook,,New York Jets / 4th / 110th pick / 2025,SmitAr01
87,Brandon Smith,27,WR,,,220,6-2,Iowa,12/10/1998,1,,,SmitBr07
21,Brandon Stephens,28,CB,,,215,6-1,UCLASMU,12/29/1997,4,,Baltimore Ravens / 3rd / 104th pick / 2021,StepBr01
37,Qwan'tez Stiggers,23,CB,,,197,6-0,None,1/8/2002,1,,New York Jets / 5th / 176th pick / 2024,StigQw00
96,Leonard Taylor,26,TE,,,305,6-3,Miami (FL),8/26/1999,1,,,TaylLe01
